Date,Open,High,Low,Close,Adj Close,Volume
2014-07-28,98.470001,99.760002,98.099998,99.580002,85.106087,1643000
2014-07-29,99.029999,99.389999,97.300003,98.400002,84.097595,1942500
2014-07-30,98.160004,98.500000,95.760002,96.339996,82.337006,2844100
2014-07-31,95.639999,95.980003,93.800003,93.889999,80.243126,2725200
2014-08-01,93.500000,94.919998,93.279999,93.820000,80.183289,2514400
2014-08-04,93.940002,94.139999,91.790001,94.050003,80.379860,3732800
2014-08-05,93.660004,93.980003,92.339996,92.589996,79.132080,2436400
2014-08-06,92.570000,93.019997,91.800003,92.349998,78.926949,4520300
2014-08-07,92.839996,94.290001,92.599998,93.970001,80.311501,2842500
2014-08-08,94.120003,95.500000,94.059998,95.449997,81.576385,1747400
2014-08-11,95.470001,95.769997,94.769997,94.889999,81.097778,1423600
2014-08-12,94.980003,95.389999,94.599998,94.900002,81.106316,1306100
2014-08-13,95.089996,96.300003,95.050003,95.750000,81.832771,1069100
2014-08-14,95.610001,96.300003,95.610001,96.190002,82.208832,964500
2014-08-15,96.410004,97.419998,96.040001,96.379997,82.371216,1268300
2014-08-18,96.589996,97.180000,95.889999,96.139999,82.166077,1098200
2014-08-19,96.510002,97.379997,96.300003,97.320000,83.174576,1291800
2014-08-20,97.220001,97.839996,96.989998,97.739998,83.533531,1031700
2014-08-21,97.800003,98.629997,97.779999,98.010002,83.764275,1285500
2014-08-22,97.980003,98.419998,97.019997,97.639999,83.448059,991500
2014-08-25,97.820000,98.559998,97.730003,98.169998,83.901031,860700
2014-08-26,98.080002,98.239998,96.660004,96.720001,82.661789,1393900
2014-08-27,96.160004,97.010002,96.000000,96.889999,83.432465,1412900
2014-08-28,96.669998,97.709999,96.379997,97.529999,83.983574,944200
2014-08-29,97.750000,98.500000,97.540001,98.449997,84.775780,1386400
2014-09-02,98.290001,98.519997,96.839996,97.230003,83.725258,1873700
2014-09-03,97.419998,98.070000,97.250000,97.599998,84.043854,1423700
2014-09-04,97.519997,97.849998,96.769997,97.230003,83.725258,2101500
2014-09-05,97.250000,97.919998,97.080002,97.919998,84.319397,1561200
2014-09-08,97.900002,98.000000,96.989998,97.239998,83.733864,1051000
2014-09-09,96.779999,97.070000,95.620003,95.699997,82.407738,1915400
2014-09-10,95.610001,96.239998,95.199997,95.620003,82.338867,1703500
2014-09-11,95.599998,96.400002,94.949997,96.150002,82.795258,1681000
2014-09-12,95.550003,95.739998,94.019997,94.099998,81.029999,1826300
2014-09-15,94.440002,94.860001,93.769997,94.180000,81.098877,1346700
2014-09-16,94.050003,95.489998,93.839996,95.129997,81.916908,2281700
2014-09-17,95.629997,96.220001,94.800003,95.290001,82.054718,2083000
2014-09-18,95.260002,95.650002,94.300003,94.580002,81.443321,1849900
2014-09-19,95.000000,95.489998,94.529999,95.139999,81.925529,2140800
2014-09-22,94.660004,95.230003,94.209999,94.620003,81.477776,1431100
2014-09-23,94.620003,95.110001,94.190002,94.550003,81.417503,1400100
2014-09-24,94.820000,94.820000,93.930000,94.180000,81.098877,1080400
2014-09-25,94.120003,94.500000,93.120003,93.139999,80.203331,1754900
2014-09-26,93.180000,93.690002,92.660004,93.440002,80.461662,1391900
2014-09-29,92.980003,93.699997,92.570000,93.599998,80.599449,1265600
2014-09-30,93.839996,94.919998,93.500000,93.879997,80.840546,1740600
2014-10-01,93.680000,95.349998,93.680000,94.290001,81.193596,1591700
2014-10-02,94.070000,94.709999,93.610001,93.769997,80.745834,1680700
2014-10-03,94.199997,94.389999,93.349998,94.230003,81.141953,1603600
2014-10-06,94.339996,94.839996,93.389999,93.660004,80.651108,1524800
2014-10-07,93.330002,94.190002,92.970001,93.019997,80.099991,1805600
2014-10-08,93.239998,95.430000,93.139999,95.320000,82.080536,2103600
2014-10-09,95.349998,95.949997,93.589996,93.589996,80.590820,2386200
2014-10-10,93.970001,95.330002,93.589996,93.629997,80.625275,2541600
2014-10-13,93.750000,94.949997,92.709999,92.790001,79.901939,2169600
2014-10-14,93.070000,94.760002,92.470001,93.339996,80.375534,3129400
2014-10-15,93.279999,93.690002,90.330002,91.820000,79.066650,3019200
2014-10-16,90.800003,93.879997,90.500000,93.370003,80.401382,3324800
2014-10-17,93.760002,94.580002,92.389999,94.250000,81.159149,2424400
2014-10-20,94.290001,95.230003,94.190002,95.129997,81.916908,1382200
2014-10-21,95.209999,95.629997,94.699997,95.519997,82.252754,1765500
2014-10-22,95.500000,97.160004,95.320000,96.529999,83.122482,2381200
2014-10-23,97.300003,98.300003,96.699997,97.800003,84.216087,2354000
2014-10-24,98.000000,98.779999,97.550003,98.360001,84.698280,1650700
2014-10-27,98.239998,98.989998,97.830002,98.089996,84.465790,1353300
2014-10-28,98.430000,99.129997,97.760002,99.129997,85.361343,1918300
2014-10-29,99.000000,99.480003,97.519997,98.599998,84.904968,1821400
2014-10-30,98.980003,100.169998,97.510002,99.910004,86.033012,2849000
2014-10-31,100.510002,100.510002,98.870003,100.220001,86.299957,2521000
2014-11-03,100.320000,101.040001,99.650002,100.809998,86.807991,2236100
2014-11-04,100.949997,101.610001,100.370003,100.959999,86.937172,1991500
2014-11-05,101.769997,105.169998,101.529999,104.879997,90.312698,5502600
2014-11-06,104.519997,105.129997,102.750000,103.949997,89.511871,3619900
2014-11-07,103.849998,104.760002,103.220001,104.730003,90.183540,2076800
2014-11-10,104.419998,105.610001,103.839996,105.610001,90.941292,1470200
2014-11-11,105.510002,105.940002,104.620003,104.800003,90.243813,1845700
2014-11-12,103.029999,104.059998,102.120003,103.089996,88.771339,2554000
2014-11-13,103.089996,103.830002,101.900002,102.269997,88.065216,1765000
2014-11-14,101.949997,102.370003,101.639999,101.849998,87.703560,1866300
2014-11-17,101.709999,103.419998,101.639999,103.209999,88.874657,1360000
2014-11-18,103.349998,103.790001,102.709999,103.339996,88.986603,1614300
2014-11-19,103.540001,103.910004,102.839996,103.709999,89.305214,1760100
2014-11-20,102.889999,103.400002,102.680000,103.059998,88.745491,1317800
2014-11-21,104.010002,104.010002,102.750000,103.739998,89.331024,1973400
2014-11-24,103.900002,104.169998,103.169998,103.220001,88.883255,1404400
2014-11-25,102.519997,103.059998,101.809998,102.849998,89.191109,1848700
2014-11-26,103.080002,103.379997,102.629997,103.199997,89.494637,1332800
2014-11-28,103.309998,105.129997,103.309998,104.389999,90.526611,988000
2014-12-01,103.839996,105.620003,103.410004,104.809998,90.890823,1899400
2014-12-02,104.449997,105.480003,103.889999,105.110001,91.150970,1443900
2014-12-03,104.790001,105.349998,104.040001,104.389999,90.526611,1601100
2014-12-04,102.650002,104.099998,102.580002,103.489998,89.746109,3653100
2014-12-05,102.639999,103.580002,102.199997,102.930000,89.260483,1767900
2014-12-08,102.820000,104.300003,102.820000,103.669998,89.902229,1798100
2014-12-09,103.529999,104.680000,103.410004,104.589996,90.700035,1653800
2014-12-10,103.220001,103.989998,101.239998,101.440002,87.968384,5374100
2014-12-11,101.750000,103.180000,101.510002,102.480003,88.870247,2338700
2014-12-12,101.800003,102.949997,100.769997,100.809998,87.422050,2575900
2014-12-15,101.849998,101.949997,99.570000,100.660004,87.291977,2815700
2014-12-16,100.870003,102.510002,100.070000,101.080002,87.656181,2649200
2014-12-17,101.320000,103.320000,100.860001,103.120003,89.425262,2759700
2014-12-18,104.040001,105.470001,103.199997,105.449997,91.445824,2206600
2014-12-19,105.680000,106.430000,104.790001,105.870003,91.810051,3486400
2014-12-22,105.860001,106.230003,105.250000,105.940002,91.870758,1635600
2014-12-23,106.360001,106.790001,105.790001,106.320000,92.200302,1263600
2014-12-24,106.510002,108.570000,106.339996,107.980003,93.639839,1153800
2014-12-26,108.279999,109.690002,108.010002,109.290001,94.775856,2201000
2014-12-29,109.110001,110.839996,109.059998,110.500000,95.825180,1952200
2014-12-30,110.440002,110.440002,107.620003,107.830002,93.509773,1436600
2014-12-31,107.849998,108.470001,106.180000,106.290001,92.174255,1497800
2015-01-02,106.629997,107.129997,105.379997,106.690002,92.521156,1614800
2015-01-05,106.580002,106.769997,105.190002,105.559998,91.541229,2038400
2015-01-06,105.919998,107.910004,105.760002,105.970001,91.896797,2655800
2015-01-07,107.589996,107.959999,106.070000,106.940002,92.737946,1823000
2015-01-08,107.870003,108.230003,107.309998,107.589996,93.301628,1900500
2015-01-09,107.730003,108.019997,106.370003,106.639999,92.477783,1530800
2015-01-12,106.500000,107.349998,105.639999,106.370003,92.243652,1457000
